County,Quartile - PCP Ratio
Anderson,3
Andrews,2
Angelina,1
Aransas,3
Archer,2
Armstrong,4
Atascosa,4
Austin,4
Bailey,2
Bandera,3
Bastrop,3
Baylor,1
Bee,4
Bell,1
Bexar,1
Blanco,2
Borden,
Bosque,1
Bowie,1
Brazoria,1
Brazos,1
Brewster,1
Briscoe,4
Brooks,2
Brown,2
Burleson,3
Burnet,2
Caldwell,3
Calhoun,2
Callahan,4
Cameron,2
Camp,1
Carson,2
Cass,4
Castro,4
Chambers,4
Cherokee,3
Childress,1
Clay,3
Cochran,3
Coke,2
Coleman,1
Collin,1
Collingsworth,2
Colorado,2
Comal,1
Comanche,2
Concho,3
Cooke,3
Coryell,4
Cottle,4
Crane,4
Crockett,3
Crosby,3
Culberson,2
Dallam,1
Dallas,1
Dawson,4
Deaf Smith,4
Delta,4
Denton,1
DeWitt,2
Dickens,2
Dimmit,3
Donley,3
Duval,2
Eastland,3
Ector,1
Edwards,4
Ellis,2
El Paso,2
Erath,1
Falls,4
Fannin,4
Fayette,3
Fisher,4
Floyd,1
Foard,4
Fort Bend,1
Franklin,3
Freestone,3
Frio,4
Gaines,4
Galveston,1
Garza,4
Gillespie,1
Glasscock,
Goliad,2
Gonzales,3
Gray,3
Grayson,2
Gregg,1
Grimes,4
Guadalupe,3
Hale,3
Hall,3
Hamilton,1
Hansford,3
Hardeman,1
Hardin,4
Harris,1
Harrison,3
Hartley,2
Haskell,2
Hays,2
Hemphill,1
Henderson,3
Hidalgo,2
Hill,4
Hockley,1
Hood,2
Hopkins,4
Houston,4
Howard,3
Hudspeth,2
Hunt,3
Hutchinson,3
Irion,
Jack,2
Jackson,4
Jasper,3
Jeff Davis,2
Jefferson,1
Jim Hogg,4
Jim Wells,3
Johnson,2
Jones,3
Karnes,4
Kaufman,3
Kendall,1
Kenedy,
Kent,
Kerr,1
Kimble,1
King,
Kinney,2
Kleberg,2
Knox,3
Lamar,2
Lamb,4
Lampasas,2
La Salle,2
Lavaca,1
Lee,4
Leon,2
Liberty,4
Limestone,3
Lipscomb,2
Live Oak,4
Llano,1
Loving,
Lubbock,1
Lynn,2
McCulloch,2
McLennan,1
McMullen,
Madison,4
Marion,2
Martin,3
Mason,2
Matagorda,3
Maverick,4
Medina,3
Menard,2
Midland,3
Milam,4
Mills,2
Mitchell,2
Montague,3
Montgomery,1
Moore,2
Morris,4
Motley,4
Nacogdoches,1
Navarro,2
Newton,2
Nolan,3
Nueces,1
Ochiltree,3
Oldham,2
Orange,4
Palo Pinto,2
Panola,3
Parker,2
Parmer,4
Pecos,2
Polk,1
Potter,1
Presidio,3
Rains,4
Randall,1
Reagan,2
Real,3
Red River,4
Reeves,3
Refugio,3
Roberts,
Robertson,4
Rockwall,1
Runnels,1
Rusk,4
Sabine,4
San Augustine,4
San Jacinto,4
San Patricio,3
San Saba,3
Schleicher,2
Scurry,2
Shackelford,3
Shelby,4
Sherman,2
Smith,1
Somervell,1
Starr,4
Stephens,3
Sterling,
Stonewall,1
Sutton,1
Swisher,4
Tarrant,1
Taylor,1
Terrell,4
Terry,3
Throckmorton,1
Titus,1
Tom Green,1
Travis,1
Trinity,4
Tyler,4
Upshur,3
Upton,1
Uvalde,2
Val Verde,3
Van Zandt,4
Victoria,1
Walker,3
Waller,4
Ward,4
Washington,1
Webb,3
Wharton,3
Wheeler,3
Wichita,1
Wilbarger,2
Willacy,3
Williamson,1
Wilson,2
Winkler,4
Wise,2
Wood,2
Yoakum,3
Young,1
Zapata,4
Zavala,4
