County,Percent Not Proficient in English,Percent Rural,Life Expectancy
Anderson,3,67.1,73.4
Andrews,8,16.5,77.5
Angelina,4,43.1,76.1
Aransas,2,27.3,77.9
Archer,1,89.0,78.8
Armstrong,1,100.0,77.4
Atascosa,4,60.7,78.3
Austin,5,66.3,78.9
Bailey,13,28.8,77.7
Bandera,1,100.0,79.6
Bastrop,5,63.9,77.6
Baylor,0,100.0,73.7
Bee,3,43.0,76.5
Bell,2,15.2,78.4
Bexar,6,4.5,78.9
Blanco,2,100.0,78.8
Borden,0,100.0,
Bosque,3,81.2,76.3
Bowie,1,35.4,75.6
Brazoria,4,22.5,79.1
Brazos,5,12.1,81.3
Brewster,2,34.9,80.9
Briscoe,5,100.0,
Brooks,9,31.8,77.1
Brown,2,40.4,75.7
Burleson,3,76.7,76.7
Burnet,2,55.7,79.2
Caldwell,5,42.3,77.4
Calhoun,6,44.7,78.4
Callahan,1,72.2,76.3
Cameron,17,8.4,80.9
Camp,4,61.5,75.5
Carson,1,95.2,78.1
Cass,0,74.0,76.0
Castro,13,45.8,79.8
Chambers,4,45.7,77.9
Cherokee,6,63.0,75.7
Childress,2,33.1,76.0
Clay,2,74.6,78.0
Cochran,11,100.0,75.7
Coke,2,100.0,76.7
Coleman,2,51.5,74.7
Collin,4,5.2,82.6
Collingsworth,6,100.0,74.8
Colorado,5,62.6,77.9
Comal,2,46.1,79.9
Comanche,4,71.5,77.3
Concho,16,100.0,81.3
Cooke,4,59.0,77.6
Coryell,1,19.4,77.5
Cottle,1,100.0,
Crane,10,10.7,79.0
Crockett,3,22.7,75.4
Crosby,3,100.0,75.1
Culberson,8,100.0,81.0
Dallam,17,23.5,78.7
Dallas,12,0.7,78.9
Dawson,4,16.3,75.7
Deaf Smith,10,17.7,77.8
Delta,0,100.0,73.0
Denton,3,6.9,81.8
DeWitt,2,49.6,76.5
Dickens,1,100.0,78.1
Dimmit,8,39.5,79.6
Donley,1,100.0,75.2
Duval,6,67.0,74.9
Eastland,3,60.3,76.5
Ector,8,9.5,75.3
Edwards,3,100.0,76.9
Ellis,5,32.0,78.3
El Paso,15,2.2,80.5
Erath,3,46.3,78.3
Falls,2,67.4,77.0
Fannin,2,70.5,74.4
Fayette,2,67.1,79.5
Fisher,3,100.0,81.2
Floyd,5,53.3,79.1
Foard,2,100.0,
Fort Bend,5,5.5,83.0
Franklin,3,69.1,77.4
Freestone,3,66.5,77.7
Frio,11,22.2,78.0
Gaines,11,63.0,79.1
Galveston,4,6.1,77.7
Garza,21,22.3,79.6
Gillespie,5,53.7,79.9
Glasscock,15,100.0,
Goliad,1,100.0,77.2
Gonzales,9,65.3,77.2
Gray,4,19.4,74.6
Grayson,2,43.2,76.2
Gregg,4,13.4,75.7
Grimes,4,68.9,76.7
Guadalupe,3,26.2,79.7
Hale,6,23.1,77.2
Hall,7,100.0,78.0
Hamilton,3,64.4,75.6
Hansford,15,40.3,77.9
